title,text,subject,date
EU to offer May hope of post-Brexit talks at summit: draft text,"BRUSSELS (Reuters) - European Union leaders could hand Theresa May an olive branch in deadlocked Brexit negotiations next week by launching their own internal preparations for a transition to a new relationship with Britain. Draft conclusions submitted by summit chair Donald Tusk to the 27 other EU governments made final Brussels  rejection of opening free trade talks now. But they also but gave the beleaguered British prime minister hope that they would do so in December   and that, if she ups her offers on divorce terms, the EU will be ready to start talking almost right away. With nerves fraying and threats flying about walking out without a deal come the March 2019 deadline for departure, the pound took a knock when EU negotiator Michel Barnier said a new round of talks this week had ended in continued deadlock over a British refusal to clarify how much it will pay on leaving. But it rallied on word that, despite tough demands from EU governments on what they want from London, the Union is ready to talk about how to avoid a  hard Brexit  and to ease Britain out with less disruption   probably by agreeing to keep it in the single market for a couple of years, diplomats say. The draft of conclusions which would be issued by leaders of the 27 next Friday, a day after meeting May in a full EU summit, still have to be agreed. Envoys, including from heavyweights Germany and France, objected last week to a suggestion from Barnier that the EU should start working on transition plans. But EU officials noted that Tusk, the European Council president, has sounded out most national leaders in recent days   he briefed May by on his preparations on Thursday. A senior EU official closely involved in the negotiations said Brussels did not expect major changes to the summit text. A diplomat from one big country said only that the text would be discussed by national envoys in Brussels on Friday. The first version, seen by Reuters, confirms what Barnier and others have said this month: that there is not  sufficient progress  on agreeing three key elements of a withdrawal treaty for leaders to agree now to open the trade talks May wants.  But in an effort to defuse accusations in Britain about EU intransigence, the leaders would welcome progress to date on their three key issues: the rights of 3 million EU citizens in Britain; protecting peace in Northern Ireland from the effect of a new border on the island; and Britain s outstanding payments. They would pledge to reassess things at their next summit in mid-December   Barnier on Thursday spoke of making progress in the next two months. And in order not to waste time once they do decide to launch talks on a post-Brexit future, they would ask Barnier and their envoys to start preparing now for a transition   albeit without actually starting talking to Britain about it.  The European Council invites the Council (Article 50) together with the Union negotiator to start internal preparatory discussions,  the draft read. Another EU official said that would avoid weeks of delay in launching a new phase by the new year   which business leaders say is vital if they are to make informed investment decisions in 2018 for the time after Brexit. Without a good idea by early next year of what a transition period will look like, international businesses in Britain would start to  vote with their feet  and move operations to the continent for fear of a  hard Brexit , some have warned. The uncertain grip May, who campaigned last year against Brexit, has over her party and hardliners demanding she resist EU demands and be ready to walk out with no deal, has left Europeans unsure of where negotiations may lead. The gesture to May reflects some willingness to help reinforce her in office. Barnier and his British counterpart, Brexit Secretary David Davis, told reporters there had been some progress this week on citizens  rights and the Irish border question. Davis renewed his call for EU leaders to give a green light to trade talks next week but that has long been a forlorn hope. Barnier made clear that despite new momentum from May s  concessions in a speech at Florence last month, British proposals still failed the  sufficient progress  test, notably on tens of billions of euros the EU says London owes. May said Britain would ensure the other 27 countries did not lose out financially from Brexit in the current EU budget period to 2020 and would honor commitments   but Barnier said London was failing to spell out just what it was ready to pay.  There was no negotiation on this, but we did have technical discussions which were useful,  he said.  We are, therefore, at a deadlock on this question. This is extremely worrying for European taxpayers and those who benefit from EU policies.  Nonetheless, he offered hope:  I am still convinced that, with political will, decisive progress is within reach in the coming two months. With David Davis, we will organize several negotiating meetings between now and the end of the year.  May herself said there had been  good progress  and welcomed Barnier s talk of further progress  over the coming weeks . ",worldnews,12-Oct-17
Poland's PM Szydlo to reshuffle cabinet soon,"WARSAW (Reuters) - Poland s Prime Minister Beata Szydlo will announce a cabinet reshuffle in coming days, she said on Tuesday, declining to respond to talk that her own job might be at risk. Media and market speculation about a reshuffle has been rife, with the governing Law and Justice (PiS) party thought to be planning to get rid of some ministers weighing on the party s broadly positive popularity ratings as it prepares for regional elections in 2018. On Monday, weekly Sieci Prawdy suggested Szydlo, 54, might herself be replaced by Jaroslaw Kaczynski, who heads the right-wing PiS to which they both belong. Tabloid Fakt said on Tuesday that Szydlo was likely to keep her job, but that others including Foreign Minister Witold Waszczykowski and Environment Minister Jan Szyszko    both relatively unpopular among the electorate   might be replaced.         Kaczynski, 68, a divisive figure who is one of the least trusted politicians in Poland, exerts huge influence behind the scenes and media have said he might be targeting Szydlo s job ahead of national elections due in 2019.   I do not want the speculation regarding changes in the government to continue. My decisions will be announced soon,  Szydlo told private broadcaster TVN 24.  This decision has been taken - there will be changes in the government. I have discussed this decision with Jaroslaw Kaczynski, which is a natural thing.  Asked about her own possible departure, Szydlo said she did not want to speculate, adding she was not tired or burned out. Opinion polls show Szydlo is the second most trusted politician in Poland, just behind President Andrzej Duda.  If the reshuffle is limited to a few ministers, then it will done out of the natural desire to get rid of the weakest links (in the cabinet),  said Jaroslaw Flis, a sociologist at the Krakow-based Jagiellonian University. The PiS government has divided opinion, putting Poland on a collision course with the EU with policies including increasing control over the judiciary and state media that critics say undermine the rule of law. But the party continues to enjoy strong backing from voters. In a survey released (when) by state pollster CBOS, 44 percent of respondents described themselves as supporters of the government, the largest share in six years. ",worldnews,24-Oct-17
Tillerson cites Russian inaction as helping to fuel Syrian poison gas attack,"WASHINGTON (Reuters) - U.S. Secretary of State Rex Tillerson on Sunday blamed Russia’s inaction for helping fuel a deadly poison gas attack against Syrian civilians last week, saying Moscow failed to carry out a 2013 agreement to secure and destroy chemical weapons in Syria. “I think the real failure here has been Russia’s failure to live up to its commitments under the chemical weapons agreements that were entered into in 2013,” Tillerson said on ABC’s “This Week.” “The failure related to the recent strike and the recent terrible chemical weapons attack in large measure is a failure on Russia’s part to achieve its commitment to the international community,” he added. Tillerson is expected in Moscow this week for talks with Russian officials. He stopped short of accusing Russia of being directly involved in the planning or execution of the attack, saying he had not seen “any hard evidence” to suggest the nation was an accomplice to Syrian President Bashar al-Assad. But he said the United States expected Russia to take a tougher stance against Syria by rethinking its alliance with al-Assad because “every time one of these horrific attacks occurs, it draws Russia closer into some level of responsibility.” Other than that, he added, “there is no change to our military posture” toward Syria. Tillerson’s comments came just a few days after the United States fired dozens of cruise missiles at the Syrian airbase that was allegedly used in the chemical attack. U.S. President Donald Trump ordered the strikes after he blamed Assad for this week’s chemical attack, which killed at least 70 people, many of them children, in the Syrian town of Khan Sheikhoun. The Syrian government has denied it was behind the attack. Video depicted limp bodies and children choking while rescuers tried to wash off the poison gas. Russian state television blamed rebels and did not show footage of victims. The move immediately prompted a backlash from Russian President Vladimir Putin, who said it would damage U.S.-Russian relations. ",politicsNews,9-Apr-17
U.S. Senate votes to overturn Obama broadband privacy rules,"WASHINGTON (Reuters) - The U.S. Senate on Thursday voted narrowly to repeal regulations requiring internet service providers to do more to protect customers’ privacy than websites like Alphabet Inc’s Google (GOOGL.O) or Facebook Inc (FB.O). The vote was along party lines, with 50 Republicans approving the measure and 48 Democrats rejecting it. The two remaining Republicans in the Senate were absent and did not cast a vote. According to the rules approved by the Federal Communications Commission in October under then-President Barack Obama, internet providers would need to obtain consumer consent before using precise geolocation, financial information, health information, children’s information and web browsing history for advertising and internal marketing. The vote was a victory for internet providers such as AT&T Inc (T.N), Comcast Corp (CMCSA.O) and Verizon Communications Inc (VZ.N), which had strongly opposed the rules. The bill next goes to the U.S. House of Representatives, but it was not clear when they would take up the measure. Senate Majority Leader Mitch McConnell said the Senate was overturning a regulation that “makes the internet an uneven playing field, increases complexity, discourages competition, innovation, and infrastructure investment.” But Democratic Senator Ed Markey said, “Republicans have just made it easier for American’s sensitive information about their health, finances and families to be used, shared, and sold to the highest bidder without their permission.” FCC Chairman Ajit Pai said consumers would have privacy protections even without the Obama administration internet provider rules. In a joint statement, Democratic members of the FCC and the Federal Trade Commission said the Senate vote “creates a massive gap in consumer protection law as broadband and cable companies now have no discernible privacy requirements.” Republican commissioners, including Pai, said in October that the rules would unfairly give websites like Facebook, Twitter Inc (TWTR.N) or Google the ability to harvest more data than internet service providers and thus dominate digital advertising. The FCC earlier this month delayed the data rules from taking effect. The Internet and Television Association, a trade group, in a statement praised the vote as a “critical step towards re-establishing a balanced framework that is grounded in the long-standing and successful FTC privacy framework that applies equally to all parties operating online.” Websites are governed by a less restrictive set of privacy rules overseen by the Federal Trade Commission. Jonathan Schwantes, senior policy counsel for advocacy group Consumers Union, said the vote “is a huge step in the wrong direction, and it completely ignores the needs and concerns of consumers.” ",politicsNews,23-Mar-17
"Trump taps retired general, TV analyst for NSC posts","(Reuters) - U.S. President-elect Donald Trump announced two appointments to the National Security Council on Thursday: retired Army Lieutenant General Keith Kellogg as chief of staff and executive secretary, and former Fox News Channel analyst Monica Crowley as senior director of strategic communications. Kellogg served in the Vietnam War and has worked in the private sector since retiring from the Army in 2003, said a statement by Trump’s transition team. The statement said Crowley is a foreign affairs and political analyst for the Fox News Channel, but a Fox News spokeswoman said Crowley’s contract had been terminated.  The two will serve under Michael Flynn, a retired general Trump earlier named as his national security adviser. ",politicsNews,15-Dec-16
Virginia high court hears Republican voting-rights lawsuit,"RICHMOND, Virginia (Reuters) - In a case that could have an impact on the November presidential election, the Virginia Supreme Court heard arguments on Tuesday over a Republican lawsuit challenging the blanket restoration of voting rights for 206,000 felons by Democratic Governor Terry McAuliffe. If upheld, McAuliffe’s order could help tip Virginia, a swing state where the vote is traditionally close in presidential elections, in favor of presumptive Democratic presidential candidate Hillary Clinton. Lawyers for leaders in the Republican-controlled state legislature argued that McAuliffe exceeded his authority by restoring voting rights en masse, rather than on a case-by-case basis. “Never in Virginia’s 240-year history has a governor exercised clemency power en masse,” Charles Cooper, an attorney for the plaintiffs, told the court. Cooper said history and the language of the state constitution clearly indicate that the restoration of a felon’s rights must be done individually. But Stuart Raphael, Virginia’s solicitor general, said nothing in the constitution restricts McAuliffe’s authority to restore such rights across the board, even though no governor has done so in the past. “If he has the power,” Raphael said, “he has the power.” The plaintiffs have asked the court to block McAuliffe’s action, which also allows felons to serve on juries and hold public office. The court did not say on Tuesday when it may issue a decision in the case. Almost 12,000 felons have registered to vote since McAuliffe’s April 22 executive action, the state elections board said. Many of the convicts benefiting from the order are African-Americans or Latinos, two groups that have voted overwhelmingly for Democratic candidates in the past. Democrat Barack Obama won Virginia in 2012 by about 150,000 votes and in 2008 by about 235,000 votes.  Before the order, felons had to petition the governor individually to restore their voting rights. Virginia is one of four states whose constitutions permanently disenfranchise felons but allow the governor to restore voting rights, according to the Brennan Center for Justice, a non-partisan civil liberties group. McAuliffe and other Democrats have said the restoration of rights to felons who have served their sentences and completed probation is long overdue. The McAuliffe administration has refused to release the names of felons whose rights have been restored, a decision that drew criticism on Tuesday from Justice William Mims. “I cannot understand why a document of such importance has been shielded from litigants and the citizens of Virginia,” he said. ",politicsNews,19-Jul-16
Russian long-range bombers strike Islamic State targets in Syria,"MOSCOW (Reuters) - Six Russian long-range bombers struck Islamic State targets near the town of Albu Kamal in Syria s Deir al-Zor Province on Wednesday, the Russian Defence Ministry said in a statement. The TU-22M3 bombers took off from bases in Russia and overflew Iran and Iraq before launching the strike, it said.  The ministry said the planes had bombed Islamic State supply depots, militants, and armored vehicles and that satellite and drone surveillance had confirmed that all of the designated targets had been destroyed.  It said Sukhoi-30SM fighter jets, based at the Hmeymim air base in Syria used by Russian forces, had escorted the bombers while they were in Syrian air space and that all the bombers had safely returned to their bases. Russia on Tuesday accused the United States of providing de-facto cover for Islamic State units in Syria and of only pretending to fight terrorism in the Middle East. Specifically, the Russian Defence Ministry said the U.S. air force had tried to hinder Russian strikes on Islamic State militants around Albu Kamal. Asked about the Russian allegations, Colonel Ryan Dillon, a spokesman for the U.S.-led coalition fighting Islamic State, said:   The Russian ministry of defense statements are about as accurate as their air campaign and I think that is a reason for them to start, you know, coming out with their latest barrage of lies.   ",worldnews,15-Nov-17
Second phase of Brexit talks will be harder than first: EU's Juncker,"BRUSSELS (Reuters) - The second phase Brexit negotiations will be significantly harder than an already difficult first phase of talks, European Commission President Jean-Claude Juncker said on Friday. The leaders of the 27 countries remaining in the European Union will give the go-ahead on Friday for the EU s chief negotiator Michel Barnier to begin talks with London on a transition period and future trade ties with Britain.   I have extraordinary faith in the British Prime Minister. She has agreed with me and Mr Barnier that the withdrawal agreement will first be formalized and will be voted on and then we will see. The second phase will be significantly harder than the first and the first was very difficult,  Juncker told reporters on arriving for the second day of the EU summit. ",worldnews,15-Dec-17
Saudi mass arrests jolt markets but many see overdue swoop on corruption,"RIYADH (Reuters) - All major Gulf stock markets slid on Tuesday on jitters about Saudi Arabia s sweeping anti-graft purge, a campaign seen by critics as a populist power grab but by ordinary Saudis as an overdue attack on the sleaze of a moneyed ultra-elite. U.S. President Donald Trump endorsed the crackdown, saying some of those arrested have been  milking  Saudi Arabia for years, but some Western officials expressed unease about the possible reaction in Riyadh s opaque tribal and royal politics. Authorities detained dozens of top Saudis including billionaire Prince Alwaleed bin Talal in a move widely seen as an attempt by Crown Prince Mohammed bin Salman to neuter any opposition to his lightening ascent to the pinnacle of power. Admirers see it as an assault on the endemic theft of public funds in the world s top oil exporter, an absolute monarchy where the state and the ruling family are intertwined.  Corruption should have been fought a long time ago, because it s corruption that delays society s development,  Riyadh resident Hussein al-Dosari told Reuters.  God willing, everything that happened ... is only the beginning of what is planned,  said Faisal bin Ali, adding he wanted to see  correcting mistakes, correcting ministries and correcting any injustices against the general population.  But some analysts see the arrests as the latest in a string of moves shifting power from a consensus-based system dispersing authority among the ruling Al Saud to a governing structure centered around 32-year-old Prince Mohammed himself. Investors worry that his campaign against corruption - involving the arrests of the kingdom s most internationally known businessmen - could see the ownership of businesses and assets become vulnerable to unpredictable policy shifts. Saudi banks have frozen more than 1,200 accounts belonging to individuals and companies in the kingdom and the number keeps rising, bankers and lawyers said. The authorities sought to reassure the business community late on Tuesday, with the central bank saying it was freezing suspects  personal bank accounts at the request of the attorney general but not suspending operations of their companies.  In other words, corporate businesses remain unaffected. It is business as usual for both banks and corporates,  the bank said in a statement, adding there were no restrictions on money transfers through proper banking channels. A separate statement said Prince Mohammed had directed a powerful ministerial committee, the Council for Economic Affairs and Development, to ensure that national and multinational companies, including those wholly or partly owned by individuals under investigation, were not disrupted.  The Council recognized the importance of these companies for the national economy, and the importance of ensuring that investors could operate with confidence in Saudi Arabia,  the state news agency SPA said. In Washington, Heather Nauert, spokeswoman for the U.S. State Department, said it had urged Saudi Arabia to undertake any prosecutions of corruption suspects in a  fair and transparent  manner. She said the United States had received assurances from the Saudi government that it would do so. But another U.S. official later told reporters she had misspoken and that they had no such assurances that they could discuss in public. The Saudi stock index .TASI sank 0.7 percent in heavy trade, led by shares in companies linked to people detained in the investigation.  The market, which was down 3.1 percent at one stage, would have finished much lower without apparent buying by government-linked funds seeking to prevent a panic, fund managers said. A mass pull-out of foreign funds was not apparent. Among the companies, Prince Alwaleed s Kingdom Holding 4280.SE plunged by its 10 percent daily limit, bringing its losses in the three days since the investigation was announced to 21 percent. The fall has wiped about $2 billion off his fortune, previously estimated by Forbes magazine at $17 billion. In Dubai, where Saudis have been significant investors, the index .DFMGI slipped 1.8 percent. The index in Abu Dhabi .ADI, less exposed to Saudi money, fell only 0.4 percent. But Kuwait continued to slide, its index .KWSE losing 2.8 percent.  The show of investor nerves coincided with sharply heightened strains between Riyadh and Tehran, reflected in a  fresh denunciation of adversary Iran by Prince Mohammed over its role in Yemen, and by continuing mutual acrimony over political turmoil in Lebanon, another cockpit of Iranian-Saudi rivalry. Displaying an apparently undimmed taste for navigating several challenges simultaneously, Prince Mohammed said Iran s supply of rockets to militias in Yemen is an act of  direct military aggression  that could be an act of war.  He was speaking in a phone call with the British foreign minister after Saudi forces intercepted a ballistic missile they said was fired toward Riyadh on Saturday by the Houthis. A Saudi-led coalition, which backs Yemen s internationally-recognized government, has been targeting the Houthis in a war which has killed more than 10,000 people and triggered a humanitarian disaster in one of the region s poorest countries. Iran has denied it was behind the missile launch, rejecting the Saudi and U.S. statements condemning Tehran as  destructive and provocative  and  slanders . The coincidence of heightened Saudi-Iranian tensions and Saudi domestic political upheaval has stirred unease among some Western governments and analysts about the emergence of an impromptu policy-making style under Prince Mohammed and turmoil in a region traditionally seen as a haven of stability.  He seems to be pushing the creation of a personalized system of rule without the checks and balances that have typically characterized the Saudi system of governance,  wrote Marc Lynch, professor of political science and international affairs at George Washington University, in the Washington Post.  In both domestic and foreign affairs, he has consistently undertaken sudden and wide-ranging campaigns for unclear reasons which shatter prevailing norms.   Among those held in the anti-graft purge was Prince Miteb bin Abdullah, who was replaced as minister of the National Guard, a pivotal power base rooted in the kingdom s tribes. That recalled a palace coup in June that ousted Mohammed bin Nayef, known as MbN, as heir to the throne. MbN made his first confirmed public appearance since then at the funeral for Prince Mansour bin Muqrin, deputy governor of Asir province, who was killed in a helicopter crash on Sunday. No cause has been given for the crash. A photo shared online by a state media photographer showed MbN greeting another royal at the first major family gathering since the anti-corruption sweep began. The crackdown removed any remaining political counterweights to the crown prince, according to Steffen Hertog, a Saudi scholar at the London School of Economics.  This allows for fast decision-making and reduces costly involvement of princes in state contracts, but also potentially reduces internal criticism and review of new policy initiatives,  he said. A former senior U.S. intelligence official cautioned that given the National Guard s loyalties, Prince Mohammed could face a backlash.  I find it difficult to believe that it (National Guard) will simply roll over and accept the imposition of new leadership in such an arbitrary fashion,  he said. But the purge may go some way to soothing public disgust over financial abuses by the powerful, some Saudis say.  There is no doubt that it (the detentions) soothes the anger of the regular citizen who felt that such names and senior leaders who appeared in the list were immune from legal accountability,  said Saudi-based political analyst Mansour al-Ameer.  Its spread to the general population is evidence that no one is excluded from legal accountability, and this will eventually benefit the citizen and (national) development.  ",worldnews,7-Nov-17
Republicans could lose U.S. House in 2018 over immigration fight: Bannon,"WASHINGTON (Reuters) - Republican infighting over the fate of immigrants brought illegally to the United States as children could be so vitriolic that the party loses control of the U.S. House of Representatives next year, Steve Bannon, a former adviser to President Donald Trump, said in an interview airing on Sunday. Bannon, whose far-right views on immigration, climate and trade helped shape Trump’s presidential campaign and his first months in office, was fired by the Republican president last month in a push to end factional fights within the White House. In an interview with the CBS program “60 Minutes,” Bannon predicted Republicans could lose control in the House in the 2018 congressional elections because of a looming battle over what to do about 800,000 immigrants known as “Dreamers.” Trump said last week he would scrap a program called Deferred Action for Childhood Arrivals, or DACA, that allowed the young immigrants to live and work in America. Bannon supported ending the program, which had been put in place by Democratic former President Barack Obama. Trump gave the Republican-controlled Congress six months to come up with an alternative, saying he would “revisit this issue” if lawmakers could not agree. “I’m worried about losing the House now because of this,” Bannon told CBS. “If this goes all the way down to its logical conclusion, in February and March it will be a civil war inside the Republican Party,” he said. “And to me, doing that in the springboard of primary season for 2018 is extremely unwise.” Republicans are divided over the Dreamers. Some believe they are illegal immigrants who are taking American jobs, while others say they contribute to the country and deserve compassion. Bannon, who said he left the White House on his own terms, lashed out against “establishment” Republicans who have at times grappled with Trump, a real estate celebrity who had never before held elected office. “The Republican establishment is trying to nullify the 2016 election,” Bannon said, saying it was an “open secret on Capitol Hill” that many Republicans did not support Trump’s agenda, and singling out Senate Majority Leader Mitch McConnell and House Speaker Paul Ryan for criticism.     “They do not want Donald Trump’s populist, economic nationalist agenda to be implemented,” Bannon said. He called Republican national security officials who had served in the George W. Bush administration “idiots,” including former secretaries of state Condoleezza Rice and Colin Powell, and former Vice President Dick Cheney. “I hold these people in contempt, total and complete contempt,” Bannon said, blaming them for U.S. trade problems with China and involvement in Iraq. “They’re idiots, and they’ve gotten us in this situation, and they question a good man like Donald Trump,” Bannon said. ",politicsNews,10-Sep-17
CNN says its reports on Trump intel documents different from BuzzFeed's,"(Reuters) - CNN, the news division of Time Warner Inc, said on Wednesday its decision to publish “carefully sourced reporting” on unverified intelligence documents concerning President-elect Donald Trump is “vastly different than BuzzFeed’s decision to publish unsubstantiated memos.” CNN’s statement came after Trump called the news outlet “fake news” and refused to take a CNN reporter’s questions at his first formal news conference since his Nov. 8 electoral win. BuzzFeed on Tuesday published a story about a dossier of documents it said were unverified and “potentially unverifiable” allegations of contact between Trump aides and Russian operatives. Included in the documents were claims that Russian intelligence had compromising information about Trump. BuzzFeed CEO Jonah Peretti in a memo to employees on Wednesday defended the decision to publish the dossier, referring to it as a “newsworthy document.” Throughout the news conference, Trump decried a CNN report on Tuesday that said U.S. intelligence officials had presented Trump with claims that Russian operatives said they had compromising personal and financial information about him. ",politicsNews,11-Jan-17
Gundlach sees Donald Trump nomination causing 'global growth scare',"NEW YORK (Reuters) - Jeffrey Gundlach, the widely followed investor who runs DoubleLine Capital, foresees a “global growth scare” between now and the end of the summer, triggered by a presidential nomination of Donald Trump. “That is where I see the vulnerabilities,” Gundlach said in a telephone interview on Monday. Trump’s protectionist policies could mean negative global growth, Gundlach warned. “As he gets the nomination, the markets and investors are going to worry about it more. You will see a downgrading of global growth based on geopolitical risks. You must factor this into your risk-management.”  Trump has blamed currency devaluations around the world for hurting the U.S. economy and costing American jobs, and has called for a tougher U.S. stance on trade. “We just sit back and do nothing,” Trump said earlier this month. “That’s getting to be very dangerous as far as I’m concerned.” A more effective economic move than devaluations would be charging a tax on products made abroad and sold in the United States, particularly those from China, Trump said. Gundlach, who oversees $93 billion at Los Angeles-based DoubleLine Capital, said it isn’t premature to think about a Trump nomination. “You have to entertain the hypothetical.” Phone calls and emails to Trump’s spokeswoman were not returned.   For its part, stock markets, which moved into positive territory after the U.S. Federal Reserve’s dovish move last week, will continue to track oil prices, Gundlach said, who was prescient in his call for $40 per barrel. “I think oil will have a hard time moving up to $45,” Gundlach said. The risk-reward proposition is “so bad right now because you had this easy rally” in risk markets, Gundlach said. He added: “No way I would buy junk bonds at this level.”  Gundlach also criticized Fed officials for changing their stance on interest rates. “They’ve been flip-flopping like crazy over the past few months,” he said.      Just three days after the Fed held interest rates and cautioned “global economic and financial developments continue to pose risks,” Atlanta Fed President Dennis Lockhart said on Monday that the United States may be in line for an interest rate hike as soon as April given “sufficient momentum” in U.S. growth.  Gundlach said it’s become obvious Fed officials are seeking guidance from markets. “If it is going to be about the markets, they should just come out and say, ‘If the S&P hits 2,100 we will tighten - and if it goes to 1,900 we will ease,” Gundlach said.  ",politicsNews,21-Mar-16
Japan's Abe to launch $17-billion Indian bullet train project as ties deepen,"NEW DELHI/TOKYO (Reuters) - Japan s Prime Minister Shinzo Abe will lay the foundation stone for India s first bullet train in Prime Minister Narendra Modi s home state this week, in a tightening of ties just days after New Delhi ended a dangerous military confrontation with China. The move by Abe, who starts a two-day visit to India on Wednesday, highlights an early lead for Japan in a sector where the Chinese have also been trying to secure a foothold, but without much success. Modi has made the 500-km- (311-mile-) long high-speed rail link between the financial hub of Mumbai and the industrial city of Ahmedabad in western Gujarat a centerpiece of his efforts to showcase India s ability to build cutting-edge infrastructure. The leaders will launch the start of work on the line on Thursday, India s railways ministry said in a statement.  This technology will revolutionize and transform the transport sector,  said Railways Minister Piyush Goyal, welcoming the prospects for growth brought by Japan s high-speed  shinkansen  technology. In Tokyo, a Japanese foreign ministry official told reporters,  We would like to support  Make in India  as much as possible,  referring to Modi s signature policy to lure investors in manufacturing.  And for that, we want to do what s beyond the Mumbai-Ahmedabad line and achieve economies of scale.   India would make  all-out efforts  to complete the line by August 2022, more than a year earlier than planned, the government said this week. Japan is providing 81 percent of the funding for the 1.08-trillion-rupee ($16.9-billion) project, through a 50-year loan at 0.1 percent annual interest.  Ties between India and Japan have blossomed as Modi and Abe increasingly see eye-to-eye in countering growing Chinese assertiveness across Asia. Japanese investment into India has surged in areas ranging from automotives to infrastructure in the remote northeast, making Tokyo its third-largest foreign direct investor.   India and Japan are also trying to move forward on a plan for New Delhi to buy Japanese amphibious aircraft - ShinMaywa Industries  US-2 - in what would be one of Tokyo s first arms transfers since ending a self-imposed embargo.  Tokyo hopes that by gaining a head start on rival exporters of rail technology such as China and Germany, its companies will be able to dominate business in one of the most promising markets for high-speed rail equipment. In 2015, China won a contract to assess the feasibility of a high-speed link between Delhi and Mumbai, part of a network of more than 10,000 km (6,214 miles) of track India wants to set up, but little progress has been made. Bullet train critics say the funds would be far better spent to modernize India s slow and rickety state-controlled rail system, the world s fourth largest.  But a $15-billion safety overhaul has hit delays as a state steel firm proved unable to fill demand for new rail. ",worldnews,12-Sep-17
Mexico President Pena Nieto says optimistic about U.S. relationship,"MEXICO CITY (Reuters) - Mexican President Enrique Pena Nieto said on Thursday he was optimistic Mexico could come up with a new, positive bilateral relationship with the United States after the election of Donald Trump as president. “I have real optimism that we will be able to build a new working agenda in the bilateral relationship that would be positive,” Pena Nieto told a conference. “It will also benefit the societies of both countries.” Pena Nieto said on Wednesday that he and Trump have agreed to meet, possibly during the transition period before his inauguration on Jan. 20. ",politicsNews,10-Nov-16
Senior China minister says some officials practice sorcery,"BEIJING (Reuters) - Some top Chinese officials are guilty of practicing sorcery and would rather believe in gurus and Western concepts of democracy than the Communist Party, a senior minister wrote on Thursday, warning of the danger they presented to its survival. China guarantees freedom of religion for major belief systems such as Buddhism, Christianity and Islam, but party members are meant to be atheists and are barred from what it calls superstitious practices, such as visits to soothsayers. Recent years have seen several cases of officials jailed as part of President Xi Jinping s crackdown on corruption being accused of superstition, part of the party s efforts to blacken their names. Some senior officials in leadership positions had  fallen morally , their beliefs straying from the correct path, wrote Chen Xi, the recently appointed head of the party s powerful Organisation Department that oversees personnel decisions.  Some don t believe in Marx and Lenin but believe in ghosts and gods; they don t believe in ideals but believe in sorcery; they don t respect the people but do respect masters,  he wrote in the official People s Daily, referring to spiritual leaders or gurus. People in China, especially its leaders, have a long tradition of turning to soothsaying and geomancy to find answers to their problems in times of doubt, need and chaos. The practice has grown more risky amid Xi s war on graft, in which dozens of senior officials have been imprisoned. Attacking officials whose faith in communism is wavering, Chen said some consider it an  entirely unreal mirage , and have lost faith in socialism. Instead, they look to Western concepts of the separation of power and multi-party systems as their ideal, added Chen, who also runs the Central Party School that trains rising officials. He did not name any officials guilty of practicing superstition or fawning over the West. But elsewhere in the article he named some of those caught up in the most high-profile recent cases, such as the feared former domestic security chief, Zhou Yongkang and the former party boss of Chongqing, Sun Zhengcai, sacked for corruption in July. They were  political careerist plotters , whose cases showed that officials  political problems were no less a threat to the party than corruption, Chen wrote.  The higher the position, the greater their platform, the greater the harm they caused to the party,  he added.  ",worldnews,16-Nov-17
Democratic congressman Schiff says Trump-Putin dinner talk 'deeply troubling',"WASHINGTON (Reuters) - The top Democrat on the U.S. House of Representatives Intelligence Committee said on Wednesday it was “deeply troubling” that President Donald Trump met with Russian President Vladimir Putin in Germany this month for talks not attended by any U.S. national security officials. “These two isolated leaders on the world stage making common cause in a way that is not been witnessed by any of our national security officials ... that’s deeply troubling,” Representative Adam Schiff said in an interview with CNN. A White House official said on Tuesday Trump and Putin had a previously undisclosed conversation during a dinner for G20 leaders at a summit in Germany. ",politicsNews,19-Jul-17
Senate bill would count munis toward bank liquidity,"CHICAGO (Reuters) - Bonds sold by U.S. states, cities, schools and other issuers in the municipal market could be held as liquid assets by banks under legislation introduced on Tuesday in the U.S. Senate, bolstering the case for purchasing the debt while helping financial institutions weather market crises. The bipartisan measure would classify high-quality municipal bonds at the same level as corporate debt, allowing banks to use munis to comply with new 30-day federal liquidity requirements. Federal rules approved in 2014 and effective next year are aimed at ensuring big banks will be able to access sufficient cash during a financial crisis. But the rules excluded muni bonds from the types of securities that count as high quality liquid assets, or HQLAs.  Muni debt issuers fear the exclusion would deter banks from buying muni debt, hurting their ability to fund everything from schools and bridges to water treatment plants and hospitals. “If banks retreat from the muni-bond market, it could choke off a critical source of investment on which our cities and localities rely. This bill protects the stability of our markets while providing continued access to muni bonds for local governments,” Senator Chuck Schumer, a New York Democrat, said in a statement.   Schumer, along with Senators Mark Warner, a Virginia Democrat, and Mike Rounds, a South Dakota Republican, led a group sponsoring the legislation. Putting munis on par with corporate debt “would be acceptable,” according to Washington State Treasurer James McIntire, president of the National Association of State Treasurers (NAST), which has been pushing for the inclusion of munis under the rules.  A House bill would also allow banks to count munis toward banks’ liquidity but at a higher face value, 85 percent, versus 50 percent in the Senate bill, according to NAST. ",politicsNews,27-Sep-16
